#Text,Average,Performance(s)
64,29.93069051,0.109375
128,32.81849407,0.25
256,44.14183797,0.390625
512,41.09715689,0.921875
1024,62.80176806,1.875
2048,52.41397199,3.8125
4096,67.66448656,7.609375
8192,69.66763524,15.4375
16384,134.9819879,31.125
32768,140.9514428,62.171875
65536,194.1989929,130.0625
131072,327.4380685,259.671875
