#Text,Average,Performance(s)
64,44.19780103,0.15625
128,35.01426651,0.25
256,42.88033327,0.546875
512,41.2325378,1.078125
1024,52.14143734,2.125
2048,70.95080507,4.1875
4096,43.46113956,8.484375
8192,65.21906932,17.1875
16384,58.12221327,33.890625
32768,49.48142986,68.140625
65536,66.01169586,136.84375
131072,57.290277,267.3125
262144,63.18022769,537.515625
524288,67.05026334781587,1171.3125
1048576,62.793090551028115,2338.90625
2097152,60.506531090581845,4644.546875
