#Text,Average,Performance(s)
128,17.825359713196228,0.078125
256,19.361826464206644,0.09375
1024 ,20.820812311228003,0.265625
2048 ,23.17239834701262,0.546875
4096 ,27.056780113418103,1.078125
8192 ,35.507161249686284,2.078125
16384 ,54.75356551763831,4.265625
32768 ,82.56475035020884,8.3125
65536 ,120.38237053216172,16.859375
